TOA5,DB_METS,CR1000,73738,CR1000.Std.32.05,CPU:METS_V5.CR1,20519,Daily,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,AirTemp_Max,AirTemp_TMx,AirTemp_Min,AirTemp_TMn,AirTemp_Avg,RH_Max,RH_TMx,RH_Min,RH_TMn,RH_Avg,WS_2m_Avg,WindDir_2m_Avg,WindDir_SD_2m,WS_2m_Max,WS_2m_TMx,WindDir_SMM,WS_3m_Avg,WS_3m_Max,WS_3m_TMx,WindRun_2m_Tot,WindRun_3m_Tot,SrW_Avg,SrW_Max,SrW_TMx,SrMJ_Tot,Vap_Press_Avg,Rain_Tot,Program_Signature
TS,RN,Deg C,,Deg C,,Deg C,%,,%,,%,m/s,Deg,Deg,m/s,,Degrees,m/s,m/s,,km/day,km/day,W/m^2,W/m^2,,MJ/m^2,kPa,inches,arb
,,Max,TMx,Min,TMn,Avg,Max,TMx,Min,TMn,Avg,WVc,WVc,WVc,Max,TMx,SMM,Avg,Max,TMx,Tot,Tot,Avg,Max,TMx,Tot,Avg,Tot,Smp
6/12/2022 0:00,66,34.17,6/11/2022 14:49,15.85,6/11/2022 4:31,25.4,85.3,6/11/2022 4:32,10.6,6/11/2022 16:03,39.47,14.75,144.9,90.1,7.7,6/11/2022 15:15,81.1,2.152,8.7,6/11/2022 15:15,165.6,185.9,364.7,1034.5,6/11/2022 11:52,31.5101,1.242,0,40931
6/13/2022 0:00,67,36.45,6/12/2022 14:25,11.4,6/12/2022 4:22,24.74,69.59,6/12/2022 4:27,10.01,6/12/2022 12:24,34,16.17,232.2,74.35,18.7,6/12/2022 14:51,236.7,1.667,19.95,6/12/2022 14:51,130.8,144,297.9,1248.771,6/12/2022 9:49,25.73593,1.106,0,40931
6/14/2022 0:00,68,27.57,6/13/2022 14:36,12.25,6/13/2022 4:46,18.87,31.31,6/13/2022 6:14,6.415,6/13/2022 15:21,15.88,12.12,221.5,21.22,13.45,6/13/2022 10:08,215.1,5.231,14.45,6/13/2022 13:34,403.1,451.9,363.7,1044.105,6/13/2022 11:44,31.42669,0.639,0,40931
6/15/2022 0:00,69,29.97,6/14/2022 15:40,12.01,6/14/2022 5:05,20.96,54.9,6/14/2022 23:55,10.38,6/14/2022 1:27,30.22,8.15,90.2,61.96,12.95,6/14/2022 15:28,109.7,3.567,13.7,6/14/2022 15:28,271.8,308.2,350.6,1006.305,6/14/2022 11:42,30.29148,0.915,0,40931
6/16/2022 0:00,70,34.07,6/15/2022 16:47,10.35,6/15/2022 3:25,23.54,57.45,6/15/2022 3:25,19.13,6/15/2022 16:09,37.02,12.5,94.4,58.82,9.7,6/15/2022 18:01,124.7,3.026,10.45,6/15/2022 18:01,231.1,261.5,363.6,1030.408,6/15/2022 11:44,31.41637,0.937,0,40931
6/17/2022 0:00,71,35.55,6/16/2022 16:11,15.28,6/16/2022 3:45,23.25,75.6,6/16/2022 4:48,13.8,6/16/2022 21:26,43.64,9.05,125.7,65.86,13.95,6/16/2022 21:17,162.2,3.423,15.95,6/16/2022 21:21,259.5,295.7,342.6,996.2643,6/16/2022 11:55,29.60429,1.325,0,40931
6/18/2022 0:00,72,33.19,6/17/2022 13:52,14.7,6/17/2022 3:15,24.35,64.16,6/17/2022 3:34,13.44,6/17/2022 15:47,31.76,9.87,170.4,23.96,12.2,6/17/2022 14:08,172.8,4.578,14.2,6/17/2022 15:08,342.8,395.5,333.8,1115.076,6/17/2022 12:17,28.8397,1.111,0,40931
6/19/2022 0:00,73,31.67,6/18/2022 13:29,18.25,6/18/2022 4:34,25.23,53.23,6/18/2022 23:52,19.15,6/18/2022 13:29,30.17,12.8,193.1,29.24,10.7,6/18/2022 9:52,179.7,3.911,11.95,6/18/2022 11:00,292.2,337.9,208.3,1294.856,6/18/2022 11:05,17.99566,1.072,0,40931
6/20/2022 0:00,74,30.85,6/19/2022 11:42,14.5,6/19/2022 4:47,22.82,76.11,6/19/2022 5:11,22.87,6/19/2022 11:37,46.21,9.65,199.4,41.18,15.7,6/19/2022 12:11,197.6,3.98,16.7,6/19/2022 12:11,301,343.9,255.8,1417.498,6/19/2022 12:29,22.10095,1.381,0,40931
6/21/2022 0:00,75,25.78,6/20/2022 16:20,10.08,6/20/2022 2:25,18.09,75.83,6/20/2022 1:55,13.73,6/20/2022 18:18,41.82,10.62,207.6,42.66,8.2,6/20/2022 20:51,194.1,2.926,8.95,6/20/2022 21:00,219.3,252.8,290.2,1265.447,6/20/2022 12:16,25.07215,1.246,0,40931
6/22/2022 0:00,76,28.62,6/21/2022 0:01,8.16,6/21/2022 23:53,19.39,91.7,6/21/2022 23:57,21.49,6/21/2022 10:25,50.8,6.43,64.43,61.58,13.95,6/21/2022 2:21,50.27,2.555,15.2,6/21/2022 2:21,199.3,220.8,98.1,418.4299,6/21/2022 10:16,8.479741,1.014,0,40931
6/23/2022 0:00,77,33.84,6/22/2022 12:19,9.81,6/22/2022 4:15,21.83,96,6/22/2022 4:48,49.52,6/22/2022 11:37,70.8,8.22,172.5,30.27,10.2,6/22/2022 12:39,154.3,2.487,11.2,6/22/2022 12:27,188.1,214.9,194.1,1184.437,6/22/2022 10:36,16.77042,1.478,0,40931
6/24/2022 0:00,78,32.5,6/23/2022 17:00,13.88,6/23/2022 5:08,21.54,70.92,6/23/2022 0:10,18.12,6/23/2022 16:45,44.53,12.95,226.6,44.13,9.7,6/23/2022 18:07,273.2,2.672,10.45,6/23/2022 18:07,200.3,230.9,280.1,1228.593,6/23/2022 11:51,24.19949,1.375,0.01,40931
6/25/2022 0:00,79,23.57,6/24/2022 15:40,12.16,6/24/2022 4:53,17.69,71.19,6/24/2022 4:53,13.14,6/24/2022 15:41,34.46,12.28,283.5,51.9,7.2,6/24/2022 19:03,34.24,1.964,8.2,6/24/2022 21:48,149.3,169.7,306.3,1164.45,6/24/2022 11:35,26.46148,1.091,0.02,40931
6/26/2022 0:00,80,20.93,6/25/2022 7:43,12.89,6/25/2022 23:25,16.37,74.98,6/25/2022 0:40,36.22,6/25/2022 7:35,56,9.2,49.74,58.5,8.95,6/25/2022 10:44,24.7,2.309,10.2,6/25/2022 12:01,177.7,199.5,202.6,1255.976,6/25/2022 12:00,17.50568,1.385,0,40931
6/27/2022 0:00,81,30.53,6/26/2022 12:07,8.85,6/26/2022 23:29,20.01,89.7,6/26/2022 5:56,46.97,6/26/2022 12:52,68.88,14.67,120.5,30.69,8.95,6/26/2022 11:11,107.5,3.19,10.2,6/26/2022 7:17,236.8,275.6,146.9,894.9675,6/26/2022 9:45,12.69064,1.257,0,40931
6/28/2022 0:00,82,34.33,6/27/2022 16:37,9.93,6/27/2022 23:57,22.88,96.4,6/27/2022 8:24,50.14,6/27/2022 16:39,80.8,4.47,115.4,33.58,7.45,6/27/2022 15:26,154.3,2.433,7.95,6/27/2022 15:25,178,210.2,189.1,1471.482,6/27/2022 12:09,16.33702,1.548,0.31,40931
6/29/2022 0:00,83,34.09,6/28/2022 16:12,12.13,6/28/2022 4:38,22.97,99.2,6/28/2022 3:49,17.72,6/28/2022 16:58,59.67,14.6,140.1,44.16,7.95,6/28/2022 10:45,180.2,1.847,8.7,6/28/2022 13:46,132.8,159.6,345.5,987.1838,6/28/2022 11:52,29.85274,1.297,0,40931
6/30/2022 0:00,84,28.47,6/29/2022 14:57,13.68,6/29/2022 4:39,20.32,85.6,6/29/2022 5:03,8.32,6/29/2022 14:41,39.8,14.15,156.4,55.24,7.45,6/29/2022 22:10,165.9,2.14,8.45,6/29/2022 22:10,155.8,184.9,344,992.4077,6/29/2022 12:01,29.72112,1.07,0,40931
7/1/2022 0:00,85,28.88,6/30/2022 13:13,12.33,6/30/2022 22:05,20.23,82.5,6/30/2022 23:47,17.43,6/30/2022 14:39,46.59,12.12,330.1,60.48,11.45,6/30/2022 16:05,344.1,1.982,12.95,6/30/2022 16:05,150.8,171.2,299.1,1093.658,6/30/2022 14:34,25.84323,1.422,0.01,40931
7/2/2022 0:00,86,30.26,7/1/2022 14:21,12.91,7/1/2022 23:41,21.92,99.2,7/1/2022 23:56,36.47,7/1/2022 14:31,74.21,6.05,322.3,83,12.2,7/1/2022 16:27,203.6,1.456,13.2,7/1/2022 16:37,112.3,125.8,242.8,1022.224,7/1/2022 14:28,20.97423,1.726,0.32,40931
7/3/2022 0:00,87,33.24,7/2/2022 16:31,14.58,7/2/2022 3:41,23.07,99.3,7/2/2022 6:39,37.25,7/2/2022 16:07,73.76,10.18,87.5,84.2,6.2,7/2/2022 21:09,4.409,1.466,6.45,7/2/2022 21:01,105.1,126.7,309.4,968.6827,7/2/2022 11:48,26.73163,1.831,0.01,40931
7/4/2022 0:00,88,34.97,7/3/2022 13:20,13.14,7/3/2022 4:36,24.83,97,7/3/2022 2:30,26.84,7/3/2022 13:23,63.22,7.18,206.8,33.16,14.45,7/3/2022 14:09,213.3,2.715,15.95,7/3/2022 14:09,199,234.6,226.5,1350.042,7/3/2022 10:58,19.5722,1.719,0.02,40931
7/5/2022 0:00,89,32.94,7/4/2022 17:38,14.99,7/4/2022 4:42,23.84,73.45,7/4/2022 4:42,18.4,7/4/2022 15:46,46.04,10.1,231.6,44.05,6.2,7/4/2022 20:43,249,1.76,7.2,7/4/2022 20:43,129.8,152,346.1,976.0157,7/4/2022 12:07,29.90074,1.516,0,40931
7/6/2022 0:00,90,29.96,7/5/2022 13:35,15.87,7/5/2022 4:41,20.52,86.5,7/5/2022 4:59,21.27,7/5/2022 13:52,49.14,10.55,266.3,39.41,9.95,7/5/2022 15:16,269.5,1.389,10.7,7/5/2022 15:16,105.7,120,301.4,1165.49,7/5/2022 13:29,26.04352,1.547,0,40931
7/7/2022 0:00,91,27.32,7/6/2022 15:28,13.74,7/6/2022 19:36,19.06,99.3,7/6/2022 21:03,32.01,7/6/2022 14:57,69.8,9.8,27.46,71.79,15.7,7/6/2022 19:27,0.048,1.981,18.2,7/6/2022 19:35,147.3,171.2,331.7,994.3197,7/6/2022 12:05,28.65673,1.903,2.38,40931
7/8/2022 0:00,92,33.72,7/7/2022 15:46,13.04,7/7/2022 4:52,23.4,97.7,7/7/2022 1:32,33.68,7/7/2022 15:42,68.76,8.6,208.1,96.5,7.7,7/7/2022 21:49,215.1,1.999,8.7,7/7/2022 21:49,156.5,172.7,341.3,977.4916,7/7/2022 12:05,29.49093,1.933,0.02,40931
7/9/2022 0:00,93,37.17,7/8/2022 16:08,13.71,7/8/2022 3:51,26.47,96.4,7/8/2022 3:54,35.45,7/8/2022 16:04,65.5,5.45,166.5,68.06,8.45,7/8/2022 13:39,110.1,2.1,8.2,7/8/2022 13:07,158,181.4,334.9,1014.734,7/8/2022 13:58,28.93338,1.891,0,40931
7/10/2022 0:00,94,37.58,7/9/2022 15:08,14.73,7/9/2022 4:33,25.91,96.1,7/9/2022 4:20,23.76,7/9/2022 14:56,59.87,10.1,145.8,39.33,5.45,7/9/2022 13:44,136.6,1.312,6.2,7/9/2022 16:39,101,113.3,341.2,966.9252,7/9/2022 11:58,29.47576,1.92,0,40931
7/11/2022 0:00,95,27.05,7/10/2022 12:57,15.94,7/10/2022 3:58,21.02,66.93,7/10/2022 5:03,16.61,7/10/2022 16:27,43.9,13.78,167.9,82.8,12.95,7/10/2022 19:10,274.4,2.283,14.45,7/10/2022 19:10,166.6,197.2,335.8,981.0927,7/10/2022 11:55,29.01399,1.603,0,40931
7/12/2022 0:00,96,33.82,7/11/2022 13:42,13.92,7/11/2022 23:54,22.73,83.7,7/11/2022 21:12,37.4,7/11/2022 15:53,59.28,12.35,340.2,84.3,9.95,7/11/2022 8:56,332.7,2.722,11.2,7/11/2022 8:48,202.2,235.2,301.2,955.9211,7/11/2022 11:51,26.02635,1.69,0,40931
7/13/2022 0:00,97,35.33,7/12/2022 15:19,13.34,7/12/2022 4:21,22.1,94.6,7/12/2022 4:23,37.51,7/12/2022 15:19,64.62,12.28,151.5,38.26,8.2,7/12/2022 11:45,111.7,1.894,8.95,7/12/2022 11:45,141.4,163.6,319,964.3602,7/12/2022 12:04,27.5635,1.708,0,40931
7/14/2022 0:00,98,36.4,7/13/2022 15:31,15.16,7/13/2022 4:54,25.77,94.2,7/13/2022 4:03,11.54,7/13/2022 16:20,47.09,7.85,176.8,45.67,6.95,7/13/2022 12:10,139.6,1.819,6.95,7/13/2022 12:05,143,157.2,343.7,986.1342,7/13/2022 11:44,29.69775,1.328,0,40931
7/15/2022 0:00,99,35.65,7/14/2022 16:02,19.89,7/14/2022 4:57,26.23,81.5,7/14/2022 4:56,12.02,7/14/2022 16:56,40.71,10.85,274.3,59.75,10.45,7/14/2022 17:42,275.8,1.226,11.2,7/14/2022 17:42,102.6,105.9,327.1,1121.828,7/14/2022 9:49,28.26084,1.426,0,40931
7/16/2022 0:00,100,33.79,7/15/2022 16:52,18.43,7/15/2022 2:16,25.08,77.55,7/15/2022 2:07,16.8,7/15/2022 16:49,42.44,8.37,198.6,77.04,6.45,7/15/2022 21:18,239.4,1.157,6.95,7/15/2022 21:18,91.5,99.9,294,1032.083,7/15/2022 9:54,25.40254,1.462,0,40931
7/17/2022 0:00,101,35.52,7/16/2022 13:48,15.44,7/16/2022 2:23,25.78,82.9,7/16/2022 21:15,26.74,7/16/2022 14:06,58.49,6.05,296.4,73.81,12.2,7/16/2022 17:26,175.5,1.841,13.45,7/16/2022 16:23,144.7,159.1,268.2,1125.223,7/16/2022 10:30,23.17581,1.875,0,40931
7/18/2022 0:00,102,38.57,7/17/2022 15:44,18.33,7/17/2022 4:44,26.62,93.1,7/17/2022 4:47,21.03,7/17/2022 14:32,54.96,16.48,136.8,69.86,6.7,7/17/2022 16:18,106.8,1.213,6.7,7/17/2022 16:00,97.3,104.8,336.4,987.0098,7/17/2022 12:16,29.06512,1.705,0,40931
7/19/2022 0:00,103,36.64,7/18/2022 14:37,17.19,7/18/2022 3:52,26.47,75.53,7/18/2022 4:01,15.71,7/18/2022 15:02,45.91,5.68,170.1,63.61,13.2,7/18/2022 17:33,249.5,1.763,14.45,7/18/2022 17:33,138,152.3,295.3,967.1527,7/18/2022 12:34,25.51727,1.56,0.42,40931
7/20/2022 0:00,104,34.5,7/19/2022 15:15,15.34,7/19/2022 4:58,24.45,94.3,7/19/2022 3:11,15.23,7/19/2022 15:51,50.75,13.4,350.5,82.4,11.7,7/19/2022 17:12,340.6,1.978,12.95,7/19/2022 17:12,158,170.9,310.2,1037.62,7/19/2022 13:49,26.79805,1.721,0.03,40931
7/21/2022 0:00,105,35.06,7/20/2022 14:11,13.92,7/20/2022 23:19,22.03,86.5,7/20/2022 23:03,22.8,7/20/2022 14:07,60.53,11.9,204.7,81,15.45,7/20/2022 15:44,333.6,2.021,17.45,7/20/2022 15:44,157.5,174.6,269.1,1020.622,7/20/2022 10:44,23.24736,1.811,0.22,40931
7/22/2022 0:00,106,36.13,7/21/2022 15:56,17.52,7/21/2022 4:22,26.94,96.8,7/21/2022 4:28,22.45,7/21/2022 15:54,61.38,5.38,136.6,44.12,5.45,7/21/2022 14:26,99.5,1.199,6.2,7/21/2022 15:44,88.8,103.6,341,977.1042,7/21/2022 12:02,29.46248,1.816,0,40931
7/23/2022 0:00,107,34.6,7/22/2022 14:21,15.07,7/22/2022 4:35,23.23,89,7/22/2022 4:35,9.58,7/22/2022 15:18,50.67,13.03,273.3,66.04,5.95,7/22/2022 20:52,219.8,1.027,6.2,7/22/2022 20:52,80.2,88.7,331.3,991.2494,7/22/2022 12:07,28.62479,1.578,0,40931
7/24/2022 0:00,108,28.58,7/23/2022 15:27,14.73,7/23/2022 5:04,20.37,80.2,7/23/2022 5:35,13.02,7/23/2022 15:24,46.95,11.08,326.6,62.35,16.45,7/23/2022 16:32,12.27,1.646,17.2,7/23/2022 16:32,130.2,142.3,312.9,982.7684,7/23/2022 12:03,27.03482,1.605,0,40931
7/25/2022 0:00,109,32.5,7/24/2022 14:54,14.59,7/24/2022 4:42,23.15,98.5,7/24/2022 23:25,31.11,7/24/2022 13:16,66.42,7.4,72.73,86.3,14.45,7/24/2022 17:22,223.4,2.922,16.95,7/24/2022 17:22,222.5,252.5,263.2,1293.934,7/24/2022 12:11,22.73902,1.806,0.53,40931
7/26/2022 0:00,110,30.07,7/25/2022 13:18,14.39,7/25/2022 4:54,23.41,99.2,7/25/2022 3:58,55.87,7/25/2022 13:21,83.2,9.05,94,67.61,7.2,7/25/2022 15:53,92.8,1.609,7.95,7/25/2022 15:53,118.8,139,229.2,1434.48,7/25/2022 11:14,19.80312,2.222,0.02,40931
7/27/2022 0:00,111,31.05,7/26/2022 16:36,14.9,7/26/2022 21:06,22.99,95.3,7/26/2022 4:11,39.96,7/26/2022 16:26,68.84,9.2,51.13,68.86,18.2,7/26/2022 21:16,89.4,2.431,20.7,7/26/2022 21:16,180.9,210,237,1490.358,7/26/2022 12:26,20.47924,2.011,0.53,40931
7/28/2022 0:00,112,22.55,7/27/2022 15:09,14.05,7/27/2022 4:55,17.91,97.1,7/27/2022 5:00,37.4,7/27/2022 14:56,65.63,8.97,160,46.83,7.95,7/27/2022 17:33,165.9,2.235,8.95,7/27/2022 17:33,168.2,193.1,315.2,1141.742,7/27/2022 11:38,27.23026,1.876,0,40931
7/29/2022 0:00,113,27.32,7/28/2022 12:36,15,7/28/2022 1:00,20.43,95.2,7/28/2022 23:59,46.29,7/28/2022 13:07,72.41,7.93,24.48,75.32,10.2,7/28/2022 3:13,49.34,1.754,11.7,7/28/2022 3:14,137.7,151.6,199.1,1318.832,7/28/2022 13:04,17.19962,1.864,0.03,40931
7/30/2022 0:00,114,31.83,7/29/2022 13:58,12.77,7/29/2022 3:03,21.43,99.1,7/29/2022 3:44,58.34,7/29/2022 13:58,85.8,6.2,79.25,39.93,10.7,7/29/2022 15:32,52.11,2.186,11.7,7/29/2022 15:28,163.2,188.9,187.1,1178.4,7/29/2022 13:58,16.16172,2.024,0.02,40931
7/31/2022 0:00,115,33.45,7/30/2022 15:04,14.52,7/30/2022 3:19,23.01,98.2,7/30/2022 23:58,35.57,7/30/2022 15:44,76.02,9.5,75.81,45.84,6.7,7/30/2022 17:34,129.7,1.442,7.45,7/30/2022 17:34,107.1,124.6,301,1120.49,7/30/2022 12:38,26.00482,2.08,0,40931
8/1/2022 0:00,116,35.04,7/31/2022 14:10,13.85,7/31/2022 23:46,23.76,99.2,7/31/2022 2:34,19.2,7/31/2022 16:16,67.98,8.08,111.3,47.47,6.2,7/31/2022 14:02,120.1,1.059,7.45,7/31/2022 14:02,80.6,91.5,316.7,1415.099,7/31/2022 11:33,27.36299,1.927,0,40931
8/2/2022 0:00,117,34.71,8/1/2022 14:22,15.77,8/1/2022 5:06,24.37,94.1,8/1/2022 4:30,16.9,8/1/2022 14:08,54.18,7.4,157.1,68.45,8.7,8/1/2022 21:18,249.9,1.459,9.45,8/1/2022 21:18,114,126.1,324.1,1005.503,8/1/2022 11:18,27.99807,1.535,0,40931
8/3/2022 0:00,118,30.26,8/2/2022 15:13,16.1,8/2/2022 5:42,22.13,72.31,8/2/2022 4:58,16.73,8/2/2022 14:54,42.27,6.88,282.8,47.38,10.2,8/2/2022 21:46,27.39,2.129,10.7,8/2/2022 21:23,168.4,183.9,311.4,1030.69,8/2/2022 11:58,26.90545,1.568,0,40931
8/4/2022 0:00,119,35.99,8/3/2022 13:41,14.06,8/3/2022 5:27,25.31,72.7,8/3/2022 22:26,21.31,8/3/2022 13:50,44.1,10.4,348,65.39,10.45,8/3/2022 10:06,315.6,2.273,10.7,8/3/2022 10:06,182.6,196.4,282.9,952.1935,8/3/2022 12:03,24.43879,1.511,0,40931
8/5/2022 0:00,120,36.33,8/4/2022 14:46,15.74,8/4/2022 4:53,26.01,93.8,8/4/2022 4:56,31.77,8/4/2022 14:46,64.24,8.6,132,38.51,16.45,8/4/2022 15:09,173.4,1.91,17.2,8/4/2022 15:09,150.5,165,276.2,1003.201,8/4/2022 11:51,23.86378,1.888,0,40931
8/6/2022 0:00,121,31.05,8/5/2022 14:31,17.66,8/5/2022 5:12,24.3,84,8/5/2022 5:12,19.18,8/5/2022 15:17,49.66,7.85,182.4,49.63,10.2,8/5/2022 17:25,181.8,2.306,11.7,8/5/2022 17:27,185,199.2,309.5,948.5253,8/5/2022 12:00,26.73939,1.676,0,40931
8/7/2022 0:00,122,29.49,8/6/2022 13:59,16.99,8/6/2022 17:01,21.99,97.6,8/6/2022 23:47,26.33,8/6/2022 13:51,57.11,7.1,287.5,74.32,16.45,8/6/2022 16:58,209.8,2.413,17.45,8/6/2022 16:57,196.4,208.5,283,952.3842,8/6/2022 12:26,24.45152,1.826,0.34,40931
8/8/2022 0:00,123,32.33,8/7/2022 13:40,14.83,8/7/2022 4:36,23.59,99.2,8/7/2022 4:33,33.42,8/7/2022 12:38,75.29,8.45,24.65,82.2,15.45,8/7/2022 14:10,347.5,2.02,15.95,8/7/2022 14:10,169.3,174.5,268.9,1203.835,8/7/2022 13:53,23.23343,2.09,0,40931
8/9/2022 0:00,124,33.82,8/8/2022 15:08,16.75,8/8/2022 23:59,24.59,96.6,8/8/2022 3:25,43.41,8/8/2022 16:31,77.7,6.95,119.3,38.55,9.45,8/8/2022 13:56,121.2,1.955,9.7,8/8/2022 13:56,156.5,168.9,205,1314.524,8/8/2022 11:58,17.70948,2.004,0,40931
8/10/2022 0:00,125,34.27,8/9/2022 15:56,15.57,8/9/2022 4:57,25.35,97,8/9/2022 5:12,26.68,8/9/2022 16:12,63.38,6.35,87.6,39.27,7.45,8/9/2022 20:47,126.6,1.672,8.2,8/9/2022 20:47,136.1,144.4,291.4,1267.214,8/9/2022 9:24,25.17911,1.735,0,40931
8/11/2022 0:00,126,35.37,8/10/2022 14:30,17.05,8/10/2022 4:30,22.93,95.5,8/10/2022 3:25,27.7,8/10/2022 16:26,61.48,5.75,112.6,40.1,8.2,8/10/2022 14:10,96.7,2.028,8.95,8/10/2022 14:10,161.4,175.2,319.2,1022.618,8/10/2022 13:10,27.5795,1.748,0,40931
8/12/2022 0:00,127,34.57,8/11/2022 14:48,14.83,8/11/2022 5:22,25.04,92.9,8/11/2022 5:28,21.7,8/11/2022 13:45,56.4,6.35,147.2,25.59,8.45,8/11/2022 16:35,104.9,1.984,8.7,8/11/2022 16:35,153.7,171.4,321.5,958.4537,8/11/2022 11:56,27.78022,1.569,0,40931
8/13/2022 0:00,128,32.34,8/12/2022 15:16,16.51,8/12/2022 5:13,24.1,86.8,8/12/2022 5:23,13.89,8/12/2022 15:32,48.11,10.85,125.2,52.87,5.45,8/12/2022 12:43,95.1,1.147,6.2,8/12/2022 19:25,97.4,99.1,325.3,969.7947,8/12/2022 11:58,28.10814,1.375,0,40931
8/14/2022 0:00,129,33.28,8/13/2022 15:05,16.38,8/13/2022 5:43,22.56,81.5,8/13/2022 5:50,15.93,8/13/2022 15:10,44.03,10.78,149.1,81.2,6.45,8/13/2022 22:47,208.4,1.444,6.95,8/13/2022 22:47,122.9,124.7,316.2,942.2789,8/13/2022 12:12,27.32206,1.403,0,40931
8/15/2022 0:00,130,29.36,8/14/2022 14:22,17.02,8/14/2022 5:03,20.81,88.8,8/14/2022 5:06,17.55,8/14/2022 14:22,42.68,6.5,173.7,77.61,5.95,8/14/2022 22:31,306.5,1.604,6.2,8/14/2022 17:23,128.6,138.6,311.2,935.6,8/14/2022 11:54,26.88539,1.348,0,40931
8/16/2022 0:00,131,25.53,8/15/2022 16:04,15.54,8/15/2022 1:16,20.1,92.9,8/15/2022 23:59,13.56,8/15/2022 16:55,52.09,4.4,347.7,80.3,15.45,8/15/2022 18:56,13.13,2.371,15.2,8/15/2022 19:00,191.6,204.9,303.5,932.7596,8/15/2022 12:04,26.22439,1.545,0.08,40931
8/17/2022 0:00,132,28.98,8/16/2022 15:14,14.16,8/16/2022 22:39,19.89,99.2,8/16/2022 21:24,42.83,8/16/2022 15:16,78.34,4.32,333,80.4,15.45,8/16/2022 15:26,8.36,1.814,15.45,8/16/2022 15:26,152.2,156.8,239.9,1359.034,8/16/2022 11:22,20.73041,1.92,1.77,40931
8/18/2022 0:00,133,31.21,8/17/2022 14:32,10.85,8/17/2022 3:02,19.38,97,8/17/2022 0:43,51.46,8/17/2022 15:42,80.7,7.47,117.4,66.07,5.45,8/17/2022 11:56,90.3,1.471,5.95,8/17/2022 11:47,111.6,127.1,222.9,1449.635,8/17/2022 11:10,19.26161,1.949,0.01,40931
8/19/2022 0:00,134,28.68,8/18/2022 15:20,11.08,8/18/2022 4:20,20.67,99.2,8/18/2022 4:57,21.02,8/18/2022 15:08,71.1,6.12,203,65.41,4.2,8/18/2022 13:07,148.4,0.849,4.7,8/18/2022 13:07,66.23,73.4,307.1,937.1287,8/18/2022 12:00,26.53024,1.74,0,40931
8/20/2022 0:00,135,27.09,8/19/2022 14:49,12.27,8/19/2022 5:22,19.1,96.1,8/19/2022 3:13,24.64,8/19/2022 16:05,61.51,7.7,283.4,75.27,10.95,8/19/2022 15:15,40.23,1.456,11.2,8/19/2022 15:50,116.8,125.8,253.4,970.8992,8/19/2022 12:22,21.89275,1.521,0,40931
8/21/2022 0:00,136,30.2,8/20/2022 16:07,13.34,8/20/2022 23:53,19.8,96.6,8/20/2022 23:59,57.57,8/20/2022 11:13,76.4,5.6,83.3,60.25,6.7,8/20/2022 16:25,234.6,1.532,7.7,8/20/2022 16:19,116.6,132.4,125.5,561.0907,8/20/2022 11:18,10.84179,1.673,0,40931
